sum_name_new,gender,hand,age,group_list,num_problems,num_accurate,acc_prec,avg_RT_first,avg_correct_RT_first,sum_num_add_corr,sum_num_sub_corr,sum_num_mult_corr,sum_num_div_corr,acc_add,acc_sub,acc_mult,acc_div,RT_add_corr,RT_sub_corr,RT_mult_corr,RT_div_corr,mean_corr_phon,mean_num_sem,mean_corr_sem,num_corr_lit_math,Inhibit score,Shift score,Emotional Control score,Self-Monitor score,Initiate score,Working Memory score,Plan/Organize score,Org. of Materials score,Task Monitor score,BRI score,MI Score,GEC score
Old_Participant8,female,right,69,old,61,60,98.36065574,2.014688525,2.0251,13,15,22,10,100,100,95.65217391,100,1.931538462,1.803266667,1.782318182,3.0136,14.33333333,20,18.66666667,44,12,9,13,7,14,13,16,11,10,41,64,105
Old_Participant9,male,right,73,old,39,36,92.30769231,2.680153846,2.642027778,8,8,9,11,100,100,90,84.61538462,2.231125,2.358375,2.217888889,3.494181818,4.333333333,16,15.66666667,40,15,10,23,9,14,12,13,14,8,57,61,118
sp1,male,right,23,student,133,128,96.2406015,0.985842105,0.987046875,31,39,22,36,88.57142857,97.5,100,100,0.899709677,0.936871795,1.0465,1.080277778,13.33333333,15.33333333,14.33333333,57,10,6,12,5,10,12,13,12,10,33,57,90
sp10,female,right,23,student,114,114,100,1.165535088,1.165535088,27,25,37,25,100,100,100,100,1.06262963,1.33184,1.060027027,1.26652,13.33333333,21.33333333,21.33333333,49,10,6,14,6,8,8,10,10,8,36,44,80
sp11,female,right,23,student,96,94,97.91666667,1.413135417,1.410670213,30,19,21,24,100,100,95.45454545,96,1.299333333,1.604842105,1.31547619,1.479416667,9.666666667,22.33333333,21.66666667,48,13,9,21,9,9,10,13,9,9,52,50,102
sp12,male,right,24,student,128,126,98.4375,1.13590625,1.138650794,36,36,25,29,94.73684211,100,100,100,0.964861111,1.206833333,1.12448,1.281965517,16,24,24,59,12,14,29,7,15,10,18,10,10,62,63,125
sp13,female,right,24,student,92,88,95.65217391,1.508076087,1.494840909,20,22,25,21,90.90909091,95.65217391,100,95.45454545,1.23885,1.805,1.54444,1.354666667,11.66666667,13.33333333,13.33333333,54,17,11,20,7,12,17,19,15,10,55,73,128
sp15,female,right,24,student,89,85,95.50561798,1.598078652,1.592729412,24,12,24,25,92.30769231,85.71428571,100,100,1.42675,1.7795,1.614833333,1.6412,6.666666667,15.66666667,15.66666667,47,11,7,12,5,13,10,12,16,7,35,58,93
sp17,female,right,24,student,91,90,98.9010989,1.603967033,1.607922222,20,27,25,18,95.23809524,100,100,100,1.42155,1.718444444,1.46856,1.842777778,15,17.33333333,16.33333333,45,11,9,10,5,9,9,10,8,6,35,42,77
sp18,male,right,25,student,101,99,98.01980198,1.401435644,1.406,23,27,24,25,100,96.42857143,96,100,0.939347826,1.13462963,1.262333333,2.26632,13,26,26,51,9,9,12,5,14,12,11,9,10,35,56,91
